Timestamp,KeyEncryptTime(ms),HEDecryptTime(ms),HESumTime(ms),FinalDecryptTime(ms),SumDecryptTime(ms),TotalProcessTime(ms),InputSize(B),EncKeySize(B),HEDecryptOutSize(B),HESumOutSize(B),FinalPlaintextSize(B),HEDecryptCTCount,HESumCTCount,NoiseBudgetEncKey(b),NoiseBudgetAfterDecrypt(b),NoiseBudgetAfterSum(b),HEDecryptedSum,GroundTruthSum,HW_Match,Status,PolyModDegree,PlainModulus,CoeffModulusInfo,SecurityLevel
2025-05-12 12:39:25 GMT,1,337377,5791,0,0,343171,16,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,24,24,true,"OK",0,0,"N/A",128
2025-05-12 12:45:31 GMT,3,358886,6539,0,0,365429,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,20,20,true,"OK",0,0,"N/A",128
2025-05-12 12:51:32 GMT,3,353082,7744,0,0,360830,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,24,24,true,"OK",0,0,"N/A",128
2025-05-12 12:57:36 GMT,4,359053,5700,0,0,364759,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,20,20,true,"OK",0,0,"N/A",128
2025-05-12 13:03:42 GMT,2,359878,5749,0,0,365630,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,24,24,true,"OK",0,0,"N/A",128
2025-05-12 13:09:49 GMT,3,361402,5673,0,0,367078,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,20,20,true,"OK",0,0,"N/A",128
2025-05-12 13:16:07 GMT,3,369330,8607,0,0,377940,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,24,24,true,"OK",0,0,"N/A",128
2025-05-12 13:22:16 GMT,2,359114,9693,0,0,368810,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,20,20,true,"OK",0,0,"N/A",128
2025-05-12 13:28:15 GMT,4,353674,5747,0,0,359426,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,24,24,true,"OK",0,0,"N/A",128
2025-05-12 13:34:21 GMT,2,359607,6003,0,0,365614,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,20,20,true,"OK",0,0,"N/A",128
2025-05-12 13:40:26 GMT,3,359011,5796,0,0,364810,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,24,24,true,"OK",0,0,"N/A",128
2025-05-12 13:46:32 GMT,2,361039,5686,0,0,366728,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,20,20,true,"OK",0,0,"N/A",128
2025-05-12 13:52:37 GMT,2,358462,5727,0,0,364192,6,325632,117024,17808,6,46,7,-2147483648,-2147483648,-2147483648,24,24,true,"OK",0,0,"N/A",128
